name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
Mt. Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,164.0,4521,7300,2779,56.0,Oregon,2150.0,430,Independent,0,0,0,0,0,1,0,5,1,0,0,3,0,0,0,0,0,1,11,No,45.3317162898854,-121.665268345274
Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,89.0,3675,4954,1280,40.0,Oregon,960.0,300,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,9,No,45.301626724377314, -121.7734363352967
Mt. Jefferson,https://www.skiresort.info/ski-resort/mt-jefferson/,45.0,420,755,335,6.0,Maine,160.0,75,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,45.3574993343982,-68.2838438205781
Mount Kato,https://www.skiresort.info/ski-resort/mt-kato/,59.0,791,1027,236,7.0,Minnesota,65.0,50,Independent,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,9,No,44.1330682315049,-94.0334010470907
Mt. La Crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/,75.0,722,1220,499,4.0,Wisconsin,100.0,30,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No,43.7435160202581,-91.1829432810558
Mt. Lemmon,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,69.0,8274,9022,748,5.0,Arizona,200.0,180,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No,32.4473469535792,-110.781571829789
Mt. McSauba,https://www.skiresort.info/ski-resort/mt-mcsauba/,23.0,607,709,102,0.4,Michigan,80.0,130,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,Yes,45.3359105594195,-85.2435563436395
Mount Peter,https://www.skiresort.info/ski-resort/mount-peter/,79.0,804,1083,279,2.0,New York,60.0,50,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,6,No,41.2476651730598,-74.2951373861055
Mount Pisgah,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,1772,2057,285,1.0,New York,15.0,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,44.3455513604065,-74.1256385804324
Mount Pleasant,https://www.skiresort.info/ski-resort/mount-pleasant/,40.0,1181,1496,315,3.0,Pennsylvania,35.0,150,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No,41.85189126928,-80.071202080451
Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,179.0,7897,9701,1804,37.0,Nevada,1200.0,350,Independent,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,3,9,No,39.3185041773208,-119.871105340327
Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,99.0,5479,7497,2018,14.0,California,635.0,157,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,6,No,41.3211305700917,-122.203663705955
Mount Ski Gull,https://www.skiresort.info/ski-resort/mount-ski-gull/,45.0,1263,1453,190,1.0,Minnesota,55.0,50,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No,46.447401766923,-94.3778316462264
Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,149.0,1919,3593,1673,37.0,Vermont,601.0,150,Vail Resorts,0,0,0,0,0,2,0,4,0,5,0,2,0,0,0,0,1,5,19,No,42.96777334596,-72.894646616674
Mount Southington,https://www.skiresort.info/ski-resort/mt-southington/,68.0,203,568,364,4.0,Connecticut,51.0,80,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,7,No,41.582585375735,-72.9249831100412
Mt. Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,80.0,3888,5889,2001,16.0,Washington,1704.0,300,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,8,No,47.9214791384284,-117.09602107211
Mount Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,119.0,1263,2717,1453,19.0,New Hampshire,233.0,130,Vail Resorts,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,3,8,No,43.3309713253797,-72.0807835697123
Mt. Zion,https://www.skiresort.info/ski-resort/mt-zion-hill/,45.0,1427,1726,299,2.0,Michigan,20.0,200,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,No,46.4740776485022,-90.1629500858359
