Name,State,Expected Price,Actual Price,Price Residual
Red River,New Mexico,94.3801459740018,129.0,34.619854025998194
Roundtop,Pennsylvania,83.11550473384581,117.0,33.88449526615419
Christmas Mountain,Wisconsin,46.57691958225776,80.0,33.42308041774224
Solitude,Utah,155.65987861610085,189.0,33.340121383899145
Whitetail,Pennsylvania,95.26598592595019,128.0,32.73401407404981
Crystal Mountain (Michigan),Michigan,83.49740699939406,115.38,31.882593000605937
Saddleback,Maine,107.92535300789775,139.0,31.074646992102245
Wildcat Mountain,New Hampshire,114.10266361412027,144.0,29.897336385879726
Snow Creek,Missouri,58.123192049022265,88.0,29.876807950977735
Mt. Rose,Nevada,149.3735275466744,179.0,29.62647245332559
Mount Bohemia,Michigan,65.63945435609722,95.0,29.360545643902782
Wintergreen Resort,Virginia,109.87491280985118,139.0,29.125087190148818
Tahoe Donner,California,81.00072923907861,110.0,28.99927076092139
Winter Park Resort,Colorado,246.58597008270115,275.0,28.414029917298848
Bear Valley,California,140.80186658696596,169.0,28.198133413034043
Ragged Mountain,New Hampshire,90.98673526319936,119.0,28.013264736800636
Boreal,California,91.227597684085,119.0,27.772402315915002
Big Bear: Bear Mountain,California,142.10566817565166,169.0,26.894331824348342
Big Bear: Snow Summit,California,142.2873383779342,169.0,26.71266162206581
The Summit at Snoqualmie: Alpental,Washington,113.94369083540967,140.0,26.05630916459033
Nub’s Nob Ski Area,Michigan,84.03115309479091,110.0,25.96884690520909
Jack Frost Mountain,Pennsylvania,79.32078551023017,105.0,25.679214489769834
Ward Hill – Shrewsbury,Massachusetts,42.7249115703615,68.0,25.2750884296385
Wisp,Maryland,104.18286282581116,129.0,24.817137174188844
Wilmot Mountain,Wisconsin,74.43083449929972,99.0,24.56916550070028
Ski Brule,Michigan,49.80188674681578,74.0,24.198113253184218
Brandywine,Ohio,66.529423060132,88.0,21.470576939867996
Boston Mills,Ohio,66.52955086856434,88.0,21.470449131435657
Alta Sierra,California,54.26483941287387,75.0,20.73516058712613
Nordic Mountain,Wisconsin,59.89794086811487,80.0,20.102059131885127
Brundage Mountain,Idaho,105.2895419420703,125.0,19.7104580579297
Devil’s Head,Wisconsin,75.36164498058457,95.0,19.638355019415428
Greek Peak,New York,95.57913207569196,115.0,19.42086792430804
Sawmill Mountain Resort,Pennsylvania,39.8673064854305,59.0,19.132693514569503
Camp 10,Wisconsin,32.96371554025874,52.0,19.03628445974126
Plattekill,New York,78.98790634150494,98.0,19.01209365849506
Holimont,New York,95.17259524400318,114.0,18.827404755996824
Marquette Mountain,Michigan,61.238792569434274,80.0,18.761207430565726
Sapphire Valley,North Carolina,49.898417659743586,68.0,18.101582340256414
Jackson Hole,Wyoming,251.04905473150407,269.0,17.95094526849593
King Pine,New Hampshire,64.25279427145169,82.0,17.74720572854831
Waterville Valley,New Hampshire,121.55810019762676,139.0,17.441899802373243
Echo Mountain – Idaho Springs,Colorado,61.97090501538638,79.0,17.02909498461362
Song Mountain,New York,68.80183048541663,85.0,16.19816951458337
Snowbasin,Utah,202.97724809266555,219.0,16.022751907334452
Hatley Pointe,North Carolina,72.24449663610892,88.0,15.75550336389108
Sundance,Utah,143.30555563968184,159.0,15.694444360318158
Powderhorn,Colorado,103.78779085467684,119.0,15.212209145323158
Holiday Mountain (New York),New York,59.96442221909257,75.0,15.035577780907431
Sundown (Iowa),Iowa,72.51114567535662,87.0,14.488854324643384
Loveland,Colorado,134.5618517268484,149.0,14.438148273151597
Little Switzerland,Wisconsin,65.6412605775227,80.0,14.3587394224773
Steamboat,Colorado,284.6524588918187,299.0,14.347541108181304
Attitash Mountain Resort,New Hampshire,129.85559062573324,144.0,14.144409374266758
Vail Mountain,Colorado,315.05837819193704,329.0,13.941621808062962
Crystal Ridge,Wisconsin,56.18246764892221,70.0,13.817532351077787
Whitecap Mountains,Wisconsin,71.50154561631169,85.0,13.498454383688312
Titcomb Mountain,Maine,31.684110947924527,45.0,13.315889052075473
Labrador Mountain,New York,60.724041671178306,74.0,13.275958328821694
Alyeska,Alaska,155.87209189536537,169.0,13.127908104634628
Mount Baldy,California,101.91889204004733,115.0,13.081107959952675
Sierra at Tahoe,California,161.95950036048396,175.0,13.040499639516042
